action_base,label,label_readable
wbcreateclaim-create,CLAIM_CREATE,Create Claim
wbsetdescription-add,DESCRIPTION_ADD,Add Description
wbsetreference-add,REFERENCE_ADD,Add Reference
wbsetclaim-create,CLAIM_CREATE,Create Claim
wbsetlabel-add,LABEL_ADD,Add Label
wbsetdescription-set,DESCRIPTION_UPDATE,Edit Description
wbeditentity-update,ENTITY_UPDATE,Edit Item
wbsetqualifier-add,QUALIFIER_ADD,Add Qualifier
wbsetsitelink-add,SITELINK_ADD,Add Sitelink
wbsetclaim-update,CLAIM_UPDATE,Edit Claim
wbremoveclaims-remove,CLAIM_REMOVE,Remove Claim
wbeditentity-create,ENTITY_CREATE,Create Item
wbsetlabel-set,LABEL_UPDATE,Edit Label
wbsetaliases-add,ALIAS_ADD,Add Item Alias
clientsitelink-update,SITELINK_UPDATE,Edit Sitelink
wbmergeitems-to,MERGE,Merge Items
wbmergeitems-from,MERGE,Merge Items
wbcreateredirect,ENTITY_REDIRECT,Redirect Item
clientsitelink-remove,SITELINK_REMOVE,Remove Sitelink
wbsetsitelink-remove,SITELINK_REMOVE,Remove Sitelink
wbsetclaimvalue,CLAIM_UPDATEVALUE,Edit Claim Value
wbeditentity-create-item,ENTITY_CREATE,Create Item
wbeditentity-override,ENTITY_OVERRIDE,Override Item
wbsetdescription-remove,DESCRIPTION_REMOVE,Remove Description
undo,REVERT,Revert Item
REVERT,REVERT_MANUAL,Revert Item
CREATE,CREATE_MANUAL,Create Item
wbsetaliases-update,ALIAS_UPDATE,Edit Alias
wbsetlabel-remove,LABEL_REMOVE,Remove Label
wbsetaliases-remove,ALIAS_REMOVE,Remove Alias
wbsetsitelink-set,SITELINK_UPDATE,Edit Sitelink
wbsetaliases-set,ALIAS_UPDATE,Edit Alias
wbremovequalifiers-remove,QUALIFIER_REMOVE,Remove Qualifier
restore,REVERT,Revert Item
wbsetlabeldescriptionaliases,ALIAS_UPDATE,Edit Alias
wbsetqualifier-update,QUALIFIER_UPDATE,Edit Qualifier
add-form,FORM_ADD,Add Form
wbremovereferences-remove,REFERENCE_REMOVE,Remove Reference
wbsetsitelink-set-both,SITELINK_UPDATE,Edit Sitelink
wbeditentity-create-lexeme,LEXEME_CREATE,Create Lexme
add-sense,SENSE_ADD,Add Sense
wbsetreference-set,REFERENCE_UPDATE,Edit Reference
REMOVE,REMOVE_MANUAL,Remove Item
MOVE,MOVE_MANUAL,Move Item
wbremovereferences-update,REFERENCE_REMOVE,Remove Reference
wbsetsitelink-add-both,SITELINK_UPDATE,Edit Sitelink
RENAME,RENAME_MANUAL,Rename Item
PROTECT,PROTECT_MANUAL,Protect Item
add-form-grammatical-features,FORM_UPDATE,Edit Form
set-sense-glosses,SENSE_UPDATE,Edit Sense
add-sense-glosses,SENSE_ADD,Add Sense
add-form-representations,FORM_UPDATE,Edit Form
wblinktitles-connect,SITELINK_UPDATE,Edit Sitelink
set-form-representations,FORM_UPDATE,Edit Form
wbeditentity-create-property,PROPERTY_CREATE,Create Property
wbremoveclaims-update,CLAIM_REMOVE,Remove Claim
update-form-grammatical-features,FORM_UPDATE,Edit Form
remove-form,FORM_REMOVE,Remove Form
update-form-representations,FORM_UPDATE,Edit Form
update-form-elements,FORM_UPDATE,Edit Form
remove-form-grammatical-features,FORM_UPDATE,Edit Form
wblmergelexemes-from,LEXEME_UPDATE,Edit Lexme
wblmergelexemes-to,LEXEME_UPDATE,Edit Lexme
remove-sense,SENSE_REMOVE,Remove Sense
update-sense-glosses,SENSE_UPDATE,Edit Sense
wblinktitles-create,SITELINK_ADD,Add Sitelink
remove-form-representations,FORM_UPDATE,Edit Form
remove-sense-glosses,SENSE_REMOVE,Remove Sense
wbsetsitelink-set-badges,SITELINK_BADGE,Add Sitelink Badge
